date,1. open,2. high,3. low,4. close,5. volume
2022-10-28,47.2,47.77,46.81,47.48,6943166.0
2022-10-27,48.12,48.485,47.47,47.62,4524379.0
2022-10-26,48.0,48.55,47.89,47.99,6021020.0
2022-10-25,46.71,47.94,46.535,47.85,5202539.0
2022-10-24,46.89,47.31,46.33,47.04,5645709.0
2022-10-21,45.02,46.92,44.95,46.87,7483602.0
2022-10-20,45.39,47.63,44.9,44.93,9259900.0
2022-10-19,46.24,46.6,45.09,45.13,8371466.0
2022-10-18,46.28,46.94,45.375,46.38,8009127.0
2022-10-17,45.91,46.07,44.995,45.26,6195320.0
2022-10-14,46.29,46.4,44.735,45.12,5889170.0
2022-10-13,43.0,46.5,42.91,45.92,8304877.0
2022-10-12,43.94,44.2297,43.54,43.81,4982535.0
2022-10-11,44.28,44.79,43.42,43.95,5222747.0
2022-10-10,44.98,45.44,44.56,44.88,4686103.0
2022-10-07,45.05,45.44,44.2,44.41,5265099.0
2022-10-06,45.7,46.1,45.315,45.52,5430693.0
2022-10-05,45.92,46.44,45.51,46.06,5564652.0
2022-10-04,45.8,46.73,45.625,46.62,6959794.0
2022-10-03,44.94,45.74,44.45,45.28,6868743.0
2022-09-30,44.17,44.84,43.8,43.93,5869756.0
2022-09-29,44.5,44.69,43.49,44.16,4905664.0
2022-09-28,44.08,45.51,43.91,45.05,8315425.0
2022-09-27,43.94,44.17,43.2747,43.79,5444885.0
2022-09-26,43.52,44.26,43.16,43.39,5497614.0
2022-09-23,44.0,44.2,43.04,43.9,6729595.0
2022-09-22,45.28,45.55,44.75,44.77,4623776.0
2022-09-21,46.42,46.59,44.97,44.98,5819128.0
2022-09-20,45.95,46.28,45.37,46.09,4996045.0
2022-09-19,45.64,46.88,45.47,46.74,4900427.0
2022-09-16,46.01,46.8,45.41,46.42,10058991.0
2022-09-15,47.1,47.76,46.69,46.91,6535487.0
2022-09-14,47.61,47.87,46.38,47.07,11484347.0
2022-09-13,48.75,49.62,47.555,47.87,9104318.0
2022-09-12,51.29,51.79,50.8,50.93,5042809.0
2022-09-09,50.23,50.715,50.02,50.51,6265662.0
2022-09-08,48.49,49.51,47.95,49.4,5964055.0
2022-09-07,48.34,49.245,48.03,48.97,6517456.0
2022-09-06,49.9,50.08,48.34,48.59,8101198.0
2022-09-02,50.53,50.76,48.905,49.31,5125300.0
2022-09-01,50.46,50.49,49.14,49.96,6378525.0
2022-08-31,51.24,51.64,50.58,51.0,6069609.0
2022-08-30,52.83,52.96,51.26,51.38,7452178.0
2022-08-29,53.0,54.01,52.54,53.57,9290697.0
2022-08-26,55.98,56.37,54.26,54.46,5777736.0
2022-08-25,54.83,55.79,54.757,55.76,5736180.0
2022-08-24,55.5,55.64,54.08,54.24,6957246.0
2022-08-23,54.66,55.76,54.53,55.62,3894509.0
2022-08-22,54.49,54.6977,53.9,54.41,6342710.0
2022-08-19,55.68,55.92,55.15,55.49,3517928.0
2022-08-18,55.72,56.225,55.42,56.02,3561483.0
2022-08-17,55.52,55.91,55.01,55.46,4197959.0
2022-08-16,55.36,56.425,55.34,56.11,3925907.0
2022-08-15,55.48,55.5,54.86,55.34,5991740.0
2022-08-12,55.33,55.94,55.31,55.93,4389097.0
2022-08-11,54.76,55.72,54.76,55.26,5066165.0
