date,date,open,high,low,close,volume,SMA_50,SMA_200,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,MACD_8_21_9,MACDh_8_21_9,MACDs_8_21_9,VOLUME_SMA_20
2022-11-04,2022-11-04,91.49,92.44,88.04,90.98,129101336.0,,,,,,,,,,,,
2022-11-03,2022-11-03,92.47,93.5,89.02,89.3,136683303.0,,,,,,,,,,,,
2022-11-02,2022-11-02,97.315,97.74,92.01,92.12,135761798.0,,,,,,,,,,,,
2022-11-01,2022-11-01,103.99,104.58,96.06,96.79,153370032.0,,,,,,,,,,,,
2022-10-31,2022-10-31,103.56,104.87,100.74,102.44,99251395.0,,,,,,,,,,,,
2022-10-28,2022-10-28,97.905,103.96,97.66,103.41,223133398.0,,,,,,,,,,,,
2022-10-27,2022-10-27,113.92,114.12,109.77,110.96,129605362.0,,,,,,,,,,,,
2022-10-26,2022-10-26,116.0,119.3457,114.76,115.66,69002457.0,,,,,,,,,,,,
2022-10-25,2022-10-25,119.65,121.3152,118.95,120.6,50934609.0,,,,,,,,,,,,
2022-10-24,2022-10-24,119.98,120.39,116.57,119.82,49531523.0,,,,,,,,,,,,
2022-10-21,2022-10-21,114.792,119.59,114.5,119.32,55660485.0,,,,,,,,,,,,
2022-10-20,2022-10-20,113.83,118.24,113.51,115.25,48795104.0,,,,,,,,,,,,
2022-10-19,2022-10-19,114.71,116.5932,113.22,115.07,47198122.0,,,,,,,,,,,,
2022-10-18,2022-10-18,119.06,119.52,114.79,116.36,65607448.0,,,,,,,,,,,,
2022-10-17,2022-10-17,110.11,114.19,110.09,113.79,62781985.0,,,,,,,,76.91763039886712,,,,
2022-10-14,2022-10-14,114.1,114.96,106.6,106.9,67737344.0,,,,,,,,65.45491062462342,,,,
2022-10-13,2022-10-13,107.88,113.44,105.345,112.53,86868103.0,,,,,,,,69.45993849541763,,,,
2022-10-12,2022-10-12,112.49,113.83,111.4,112.9,45728660.0,,,,,,,,69.70849099973827,,,,
2022-10-11,2022-10-11,112.71,115.48,110.39,112.21,56432233.0,,,,,,,,68.58744124716479,,,,
2022-10-10,2022-10-10,115.1,116.25,112.43,113.67,42339675.0,,,89.79641149961783,109.00399999999999,128.21158850038216,35.24198836810056,0.6214624105443316,69.69789494233025,,,,87776218.6
2022-10-07,2022-10-07,118.0,118.17,113.88,114.56,54677980.0,,,92.73100286500127,110.18299999999999,127.63499713499871,31.678202871584038,0.62540112074687,70.38516634223289,,,,84055050.8
2022-10-06,2022-10-06,120.77,121.53,119.5,120.3,42253755.0,,,96.62627950877474,111.73299999999999,126.83972049122524,27.040749807532684,0.7835492986375222,74.41548375434115,,,,79333573.4
2022-10-05,2022-10-05,118.58,121.75,117.69,120.95,48217535.0,,,100.52705049426936,113.1745,125.82194950573063,22.350351900349697,0.8073939926179141,74.83316474192483,,,,74956360.25
2022-10-04,2022-10-04,119.89,123.0,119.79,121.09,62812564.0,,,103.76435345983411,114.3895,125.01464654016588,18.577136083584396,0.8153132982528913,74.92810578667351,,,,70428486.85
2022-10-03,2022-10-03,113.58,116.91,112.45,115.88,50941854.0,,,105.95251482051917,115.0615,124.17048517948082,15.833246011012939,0.5449281661937369,65.08758803116949,,,,68013009.8
2022-09-30,2022-09-30,114.075,116.92,112.84,113.0,59479586.0,,,108.07424729216316,115.54100000000001,123.00775270783686,12.924853874965331,0.32984571075100255,60.36784537897063,,,,59830319.2
2022-09-29,2022-09-29,115.6,116.07,113.06,114.8,58969714.0,,,108.55542074234094,115.73300000000002,122.9105792576591,12.403686515789058,0.4350059423583214,62.212167694412976,,,,56298536.8
2022-09-28,2022-09-28,114.38,118.7,113.8,118.01,55763750.0,,,108.60492900801134,115.85050000000004,123.09607099198874,12.508484628014031,0.6490220717171695,65.31231064045885,,,,55636601.45
2022-09-27,2022-09-27,117.195,118.32,113.05,114.41,60094693.0,,,108.61145484898432,115.54100000000003,122.47054515101573,11.99495443351832,0.4183929121354919,59.42420896207445,2.498754676585449,-1.2542769959177442,3.753031672503193,56094605.65
2022-09-26,2022-09-26,113.295,117.34,113.13,115.15,62723268.0,,,108.66151512189802,115.30750000000003,121.95348487810205,11.527411275245775,0.48815074041779893,60.218133653030236,2.1836836952257954,-1.2554783818219182,3.4391620770477136,56754192.9
2022-09-23,2022-09-23,116.0,116.05,112.06,113.78,65126665.0,,,108.61888405704484,115.03050000000003,121.44211594295523,11.147679863958155,0.4024816823772776,57.95717283344754,1.7368924216335841,-1.3618157243313034,3.0987081459648875,57227501.9
2022-09-22,2022-09-22,117.08,118.79,116.26,117.31,54959006.0,,,108.64535920313332,115.13350000000003,121.62164079686673,11.270639382745596,0.6677290974520056,61.924104281346985,1.8494260176465076,-0.9994257026547038,2.8488517203012114,57535697.0
2022-09-21,2022-09-21,122.49,123.76,118.45,118.54,58498887.0,,,108.65150572834918,115.30700000000002,121.96249427165085,11.543955304796476,0.7428820361074454,63.22612318439768,2.05314823669309,-0.6365627868864969,2.689711023579587,58100735.25
2022-09-20,2022-09-20,123.35,124.3963,121.14,122.19,47698432.0,,,108.3040438173924,115.59850000000002,122.89295618260763,12.620330164504933,0.9518157238175127,66.84886962602266,2.6350094372978816,-0.04376126902536459,2.678770706323246,57205284.45
2022-09-19,2022-09-19,122.16,124.71,121.8,124.66,47279727.0,,,107.90819504724664,116.14200000000001,124.37580495275338,14.178858557203032,1.0172578199797881,69.06949026059675,3.3175373682851585,0.51101332956953,2.8065240387156285,56430171.55
2022-09-16,2022-09-16,122.78,123.87,120.7,123.53,115667804.0,,,109.30124016342076,116.97350000000002,124.64575983657927,13.117945238159509,0.9272861021168997,66.86287188869618,3.5847280797249397,0.6225632328074489,2.962164846917491,58826694.55
2022-09-15,2022-09-15,127.38,130.37,125.495,126.28,52887196.0,,,109.27373608379953,117.66100000000002,126.0482639162005,14.256659243420472,1.0138147604579304,69.42307118968644,4.06234316701115,0.8801426560749275,3.1822005109362226,57127649.2
2022-09-14,2022-09-14,127.364,128.84,126.33,128.55,45316772.0,,,109.1119614880507,118.44350000000001,127.77503851194933,15.756944892626978,1.0415237791205767,71.38816152289975,4.616064073839567,1.1470908503226758,3.4689732235168913,57107054.8
2022-09-13,2022-09-13,131.01,131.4,126.27,126.82,72694010.0,,,109.62387246158491,119.17400000000002,128.72412753841513,16.027199789241124,0.9003087900786748,67.81135061849169,4.687158370105308,0.9745481172707335,3.712610252834575,57920143.65
2022-09-12,2022-09-12,134.095,136.49,134.0,136.45,53826859.0,,,108.49568710746868,120.31300000000002,132.13031289253135,19.644282650306003,1.1827694310353214,75.24625731505392,5.907282450897142,1.7557377584500538,4.1515446924470885,58494502.85
2022-09-09,2022-09-09,130.91,133.69,130.76,133.27,49422259.0,,,108.47721928896718,121.2485,134.01978071103284,21.06629065272202,0.9706458291851221,69.53463521508681,6.233081650428815,1.6652295663853813,4.567852084043434,58231716.8
2022-09-08,2022-09-08,127.72,130.28,127.1,129.82,43988509.0,,,108.43113703196252,121.7245,135.0178629680375,21.841721211485748,0.8044940553968465,63.870285270125684,5.88449357635163,1.0533131938465576,4.831180382505073,58318454.5
2022-09-07,2022-09-07,126.12,129.82,125.4,129.48,47834487.0,,,108.44350292723082,122.15100000000002,135.8584970727692,22.443528211425512,0.7673354574176598,63.32282365609848,5.474492037582891,0.5146493240622547,4.959842713520636,58299302.1
2022-09-06,2022-09-06,127.92,128.62,124.74,126.11,43689994.0,,,108.59790408610601,122.40200000000002,136.20609591389402,22.5553437262365,0.634307962764437,58.01483992548177,4.631470908401283,-0.26269744409548235,4.894168352496766,57343173.6
2022-09-02,2022-09-02,129.5,131.38,126.39,127.51,57429829.0,,,109.34856211968768,122.98350000000002,136.61843788031234,22.17360520771051,0.6659890217224923,59.53244609250744,4.125668677497103,-0.6147997399997305,4.7404684174968335,57667572.35
2022-09-01,2022-09-01,126.0,128.02,123.66,127.82,56636145.0,,,110.74530514823975,123.72450000000003,136.7036948517603,20.98079984442899,0.6577717280145664,59.8782749329554,3.725390965191167,-0.8120619618445328,4.5374529270357,57525400.3
2022-08-31,2022-08-31,129.45,130.59,126.74,126.77,53648702.0,,,111.95560884422308,124.32300000000002,136.69039115577698,19.89558031221407,0.5989295142838975,58.068166237557314,3.2292271087083577,-1.0465806546618737,4.275807763370231,57259349.7
2022-08-30,2022-08-30,131.25,132.0745,126.85,128.73,49202990.0,,,112.7051234167858,124.85900000000001,137.01287658321422,19.468162620578756,0.65924960128961,60.4703686274468,3.0705410059688347,-0.9642134059211172,4.034754411889952,56931311.7
2022-08-29,2022-08-29,129.9,131.9499,128.77,129.79,47967685.0,,,114.29760265480506,125.62800000000001,136.95839734519495,18.038012776124663,0.683665226964217,61.74671614982373,3.035499498860716,-0.7994039304233889,3.834903429284105,56324961.3
2022-08-26,2022-08-26,136.55,137.83,130.5,130.75,53322663.0,117.52779999999998,,115.95651283309434,126.40800000000002,136.8594871669057,16.53611664911347,0.7077216347616442,62.91459880362849,3.0754600595143557,-0.6075546958157991,3.683014755330155,55854931.05
2022-08-25,2022-08-25,135.26,137.42,134.28,137.28,37496283.0,118.45379999999999,,117.81274493679909,127.58300000000001,137.35325506320092,15.315919931653767,0.9962511181782332,69.69265301164558,3.8990592426125943,0.1728355898259517,3.7262236527866426,54473411.95
2022-08-24,2022-08-24,132.75,135.47,132.1,133.8,38626978.0,119.34379999999999,,119.49896504749607,128.40750000000003,137.316034952504,13.875412187767788,0.8026591930519553,63.07629526233617,3.945663528790888,0.17555190080339633,3.7701116279874918,53656810.55
2022-08-23,2022-08-23,133.41,134.99,132.95,133.62,36252103.0,120.17379999999999,,121.22119452728616,129.16150000000002,137.10180547271386,12.29515834472943,0.7807511634987614,62.74448828923433,3.875269316416137,0.0841261507429163,3.791143165673221,52544471.35
2022-08-22,2022-08-22,135.72,136.32,132.85,133.22,50461504.0,120.9024,,122.26949518036058,129.71300000000002,137.15650481963945,11.476883303353457,0.7355745099235298,61.96441775398621,3.694682109354858,-0.07716884505469057,3.7718509544095484,52682624.95
2022-08-19,2022-08-19,140.47,141.11,137.9142,138.23,47792843.0,121.6182,,122.4564126658866,130.3915,138.3265873341134,12.17117271311919,0.9939139085654302,67.42678974791745,4.150232930435692,0.3027055808209149,3.847527349614777,52708280.75
2022-08-18,2022-08-18,141.32,142.77,140.38,142.3,37458737.0,122.396,,122.47624825285928,131.33,140.18375174714075,13.483212894450215,1.1195113841735338,71.06253208570665,4.922940926544641,0.8603308615438907,4.06261006500075,48797827.4
2022-08-17,2022-08-17,142.69,143.38,140.78,142.1,48149778.0,123.01880000000001,,122.42645122246589,132.121,141.81554877753413,14.675257949204324,1.014670678800701,70.645244239548,5.343584137398551,1.024779257918241,4.31880487948031,48560956.5
2022-08-16,2022-08-16,143.905,146.57,142.0,144.78,59102859.0,123.6012,,121.93932962016864,132.9325,143.9256703798314,16.539477373601454,1.0388572900560156,72.93842168556313,5.8849766271457895,1.2529373981323833,4.632039229013406,49250260.85
2022-08-15,2022-08-15,142.8,143.76,141.49,143.18,39014583.0,124.0528,,122.27430642372993,133.7505,145.22669357627007,17.160599139846312,0.9108287271965282,69.45021158256411,5.938789970863127,1.0454005934797763,4.89338937738335,47566289.5
2022-08-12,2022-08-12,142.05,143.57,140.1201,143.55,47643484.0,124.52740000000001,,121.90109509849059,134.1055,146.3099049015094,18.20119965476347,0.8869299681638692,69.80977790394029,5.905450113474103,0.8096485888726024,5.095801524601501,47257120.75
2022-08-11,2022-08-11,143.86,144.49,139.76,140.64,44867336.0,124.95380000000003,,121.95183341430055,134.474,146.99616658569943,18.623922223923493,0.7462034008971615,63.4813888825374,5.380453242320755,0.2277213741754034,5.152731868145351,47029374.6
2022-08-10,2022-08-10,142.9,144.6,141.01,142.69,54773819.0,125.50260000000002,,122.29888560530081,135.1175,147.93611439469922,18.974025414471406,0.7953712377498222,65.83129740467338,5.169739227518988,0.013605887498910008,5.156133340020078,47568640.1
2022-08-09,2022-08-09,138.052,138.9523,136.21,137.83,40434715.0,125.95780000000002,,122.93599607111753,135.535,148.13400392888246,18.59151352622196,0.5910786286342393,56.54214522889733,4.278128525588045,-0.7024038515456272,4.980532377133672,47198651.5
2022-08-08,2022-08-08,142.05,144.23,138.29,139.41,52303475.0,126.41880000000003,,124.27511006340124,136.2,148.12488993659875,17.510851595592882,0.6345924372076663,58.58800255191048,3.7687446247159073,-0.9694302019342116,4.738174826650119,47629325.55
2022-08-05,2022-08-05,140.1,142.86,139.6,140.8,50686865.0,126.95900000000003,,125.48181406916484,136.86449999999996,148.2471859308351,16.633511145454264,0.672872203621949,60.35617650719445,3.514963187236333,-0.9785693115310288,4.493532498767362,47292177.35
2022-08-04,2022-08-04,140.58,143.56,139.55,142.57,70585020.0,127.67240000000004,,126.76041967238997,137.60199999999998,148.44358032761,15.757881902312485,0.7291178891765491,62.54900812457189,3.4969366519025584,-0.7972766774918423,4.294213329394401,47989621.1
2022-08-03,2022-08-03,136.21,140.49,136.05,139.52,71827780.0,128.21220000000005,,128.58633787559563,138.23949999999996,147.8926621244043,13.965852197677703,0.566325416661282,56.72629460551002,3.0130403814260944,-1.0249383583746452,4.03797873980074,48898575.0
2022-08-02,2022-08-02,134.72,137.44,134.09,134.16,61922429.0,128.63740000000004,,129.67182379403934,138.51099999999997,147.3501762059606,12.763139687043815,0.2538797791435638,48.229295913517774,1.9061836168179696,-1.7054360983862162,3.611619715204186,49534546.95
2022-08-01,2022-08-01,134.96,138.8339,133.51,135.39,76846908.0,129.10100000000006,,130.75642496456675,138.79099999999997,146.8255750354332,11.577948188907383,0.28835221620301904,50.07730524680388,1.2465640132199383,-1.8920445615873982,3.1386085748073365,50978508.1
2022-07-29,2022-07-29,134.9,137.65,132.41,134.95,148892889.0,129.52660000000006,,131.62555994532954,139.00099999999995,146.37644005467035,10.612067617744346,0.22537231880593256,49.3980050391921,0.6972054245502193,-1.9531225202056937,2.650327944755913,55757019.4
2022-07-28,2022-07-28,121.57,122.84,118.08,122.28,82245543.0,129.68100000000004,,127.88407586600353,138.25099999999995,148.61792413399635,14.99725012332123,-0.2702863353473377,34.77120889584129,-1.3690522729849306,-3.2155041741926746,1.846451901207744,57994482.4
2022-07-27,2022-07-27,117.31,121.9,117.16,120.97,61582015.0,129.69440000000003,,124.89764179594357,137.60949999999994,150.3213582040563,18.47526254227561,-0.1544873193554919,33.66139224293052,-2.9744051445151456,-3.8566856365783115,0.882280492063166,59142234.25
2022-07-26,2022-07-26,115.79,118.15,114.53,114.81,67075064.0,129.57160000000005,,120.58070002765837,136.66899999999993,152.75729997234149,23.543451656691083,-0.17934461806341095,28.977689711052385,-4.858303030556414,-4.592466818095664,-0.26583621246074995,60683382.3
2022-07-25,2022-07-25,122.695,123.64,120.03,121.14,50221259.0,129.57260000000005,,118.65164363196902,136.06499999999994,153.47835636803086,25.595643799700035,0.07144964805864013,38.454481635534584,-5.260992383705656,-3.9961249369959244,-1.2648674467097312,60671370.05
2022-07-22,2022-07-22,125.01,125.5,121.3504,122.42,51463797.0,129.70340000000004,,116.91625446835809,135.27449999999993,153.63274553164177,27.142211623982128,0.1498984617608416,40.1923397087011,-5.271358746867648,-3.2051930401263333,-2.0661657067413146,60854917.75
2022-07-21,2022-07-21,123.2,124.85,121.26,124.63,60239892.0,129.93600000000006,,115.77132127022517,134.39099999999993,153.0106787297747,27.709710813633013,0.23788484372742946,43.17578647336153,-4.881994382500011,-2.252662940606957,-2.629331441893054,61993975.5
2022-07-20,2022-07-20,118.615,123.475,118.32,122.77,71268322.0,130.09540000000007,,114.50150502034523,133.42449999999994,152.34749497965464,28.36509783383818,0.2184774394472106,41.308107899152795,-4.752302521179459,-1.6983768634291243,-3.0539256577503346,63149902.7
2022-07-19,2022-07-19,115.7,118.95,114.03,118.21,60990043.0,130.09940000000006,,112.820969105082,132.09599999999995,151.3710308949179,29.183367997392747,0.13979305465961311,37.07394762430119,-5.163382972343115,-1.6875658516742242,-3.4758171206688906,63244261.9
2022-07-18,2022-07-18,115.0,117.24,113.15,113.76,59115419.0,130.08640000000005,,110.48692114425921,130.62499999999994,150.76307885574067,30.833422171469074,0.08126591615783003,33.468583190710504,-5.934078584835746,-1.966609171333484,-3.9674694135022617,64249303.7
2022-07-15,2022-07-15,112.5,115.59,111.59,113.55,84317816.0,130.05440000000007,,108.59594205765781,129.12499999999994,149.6540579423421,31.7971855834922,0.12065965121868093,33.30398671580069,-6.386710258621733,-1.935392676095577,-4.451317582526156,66083020.3
2022-07-14,2022-07-14,110.24,111.18,107.58,110.63,51163140.0,129.99140000000008,,106.30947762140467,127.62449999999997,148.93952237859529,33.40271245504635,0.10134923393123026,31.019609752971995,-6.961162750013401,-2.0078761339897957,-4.953286616023605,66397810.5
2022-07-13,2022-07-13,107.03,111.78,106.01,110.4,61353812.0,129.85320000000007,,104.6126506314447,126.00999999999996,147.40734936855523,33.9613512714154,0.13523519359505762,30.840170281084383,-7.2569137489769275,-1.8429017063626585,-5.414012042614269,66726810.15
2022-07-12,2022-07-12,112.16,113.23,108.34,109.22,54280257.0,129.66680000000008,,102.71401169079432,124.57949999999997,146.4449883092056,35.102867340462346,0.1487729937059438,29.885014991156293,-7.47437579371929,-1.6482910008840168,-5.826084792835273,67419087.25
2022-07-11,2022-07-11,114.08,114.3,110.87,111.75,53540019.0,129.45800000000008,,101.7633646484,123.19649999999997,144.62963535159994,34.79503939089175,0.2329718724716238,34.56445756631478,-7.144917122451886,-1.055065863693291,-6.089851258758595,67480914.45
2022-07-08,2022-07-08,114.6,116.58,113.69,115.54,45719694.0,129.27560000000008,,101.8649581745453,121.93349999999995,142.0020418254546,32.91719146166502,0.3407084068287783,40.92495008338425,-6.269948019081966,-0.14407740825869642,-6.125870610823269,67232555.9
2022-07-07,2022-07-07,113.85,116.99,113.49,116.33,57872323.0,129.13160000000008,,102.81791016536178,120.62149999999994,138.4250898346381,29.519761957259973,0.3794765538899767,42.1864273025664,-5.420880006212684,0.5639924836884678,-5.984872489901152,66596921.05
2022-07-06,2022-07-06,113.21,115.48,112.01,114.33,66958884.0,128.8926000000001,,103.64231857829077,119.36199999999994,135.0816814217091,26.339507417283855,0.3399458657905543,39.86550716833694,-4.97364242123011,0.8089840549368335,-5.782626476166944,66353476.25
2022-07-05,2022-07-05,107.6,114.08,106.3242,113.5,76684414.0,128.59160000000008,,103.97920989700471,118.32899999999995,132.6787901029952,24.254054547905003,0.3317396991405472,38.908823569099404,-4.665926100106461,0.8933603008483866,-5.559286400954847,67091575.5
2022-07-01,2022-07-01,106.29,109.75,105.8469,109.56,73021171.0,128.2464000000001,,104.5311769992124,117.03749999999995,129.54382300078748,21.37148008251636,0.20105122026957586,34.65709087079954,-4.87146150739062,0.5502599148513818,-5.421721422242002,66900288.65
2022-06-30,2022-06-30,108.11,108.18,102.52,106.21,97679401.0,127.64160000000011,,105.23596146709812,115.60049999999997,125.96503853290181,17.931650006534316,0.04698899665478702,31.50478967685681,-5.358275199260419,0.05075697838526683,-5.409032177645686,64339614.25
2022-06-29,2022-06-29,107.38,110.99,106.91,108.92,66375341.0,127.1546000000001,,104.65429806580838,114.93249999999996,125.21070193419155,17.885631886875494,0.20751207076411352,36.533850831226665,-5.238380330900469,0.13652147739617337,-5.374901808296642,63546104.15
2022-06-28,2022-06-28,113.5,114.85,107.04,107.4,75172028.0,126.7062000000001,,103.8685574961873,114.25399999999998,124.63944250381266,18.179569212128566,0.17001887509926786,34.982409309077696,-5.247376275880285,0.10202042593308569,-5.349396701813371,64225604.8
2022-06-27,2022-06-27,117.09,117.98,112.7,113.22,62133240.0,126.38100000000011,,103.78295829532425,114.17449999999997,124.56604170467568,18.202911691622422,0.4540732247857656,44.67092883735948,-4.383487019282583,0.7727277460246302,-5.1562147653072135,63978513.6
2022-06-24,2022-06-24,112.38,116.71,111.43,116.46,69867618.0,126.18800000000012,,103.98529136331086,113.94049999999997,123.89570863668908,17.47439871983906,0.626541797964666,49.20850810905469,-3.25864639301588,1.5180546978330671,-4.776701090848947,64960831.55
2022-06-23,2022-06-23,110.39,113.0,107.93,112.44,64345300.0,125.8866000000001,,104.26652910086307,113.44149999999998,122.61647089913689,16.175686850291843,0.4454221702166821,44.348716696587594,-2.925352083675463,1.4810792057387872,-4.40643128941425,65604906.7
