,date,open,high,low,close,volume,CUMLOGRET_1,CUMPCTRET_1
0,2022-11-04 20:00:00,91.19,91.2,91.1,91.16,9245.0,0.0,0.0
1,2022-11-04 19:55:00,91.0001,91.19,91.0001,91.17,9543.0,0.00010969121932803783,0.00010969723562981315
2,2022-11-04 19:50:00,91.09,91.1,91.0,91.04,4039.0,-0.0013172339994626425,-0.0013163668275558704
3,2022-11-04 19:45:00,91.07,91.07,91.05,91.05,1768.0,-0.0012073982038665442,-0.0012066695919262793
4,2022-11-04 19:40:00,91.03,91.0999,91.0299,91.07,3046.0,-0.0009877627977563236,-0.000987275120666986
5,2022-11-04 19:35:00,91.05,91.1,91.02,91.02,6281.0,-0.0015369417889876322,-0.0015357612988152747
6,2022-11-04 19:30:00,91.03,91.04,91.03,91.04,1668.0,-0.0013172339994626425,-0.0013163668275558704
7,2022-11-04 19:25:00,91.0,91.01,90.9901,90.9901,1691.0,-0.0018654949876174922,-0.0018637560333479852
8,2022-11-04 19:20:00,91.0,91.05,91.0,91.05,4380.0,-0.0012073982038665442,-0.0012066695919262793
9,2022-11-04 19:15:00,91.04,91.04,91.0,91.04,8367.0,-0.0013172339994626425,-0.0013163668275558704
10,2022-11-04 19:10:00,91.05,91.05,91.03,91.04,6660.0,-0.0013172339994626425,-0.0013163668275558704
11,2022-11-04 19:05:00,91.02,91.05,91.0,91.0399,7237.0,-0.0013183324183435726,-0.0013174637999121552
12,2022-11-04 19:00:00,90.99,91.0,90.98,91.0,4431.0,-0.001756697860633441,-0.001755155770074568
13,2022-11-04 18:55:00,90.99,91.0,90.98,90.98,1653.0,-0.001976502235625423,-0.001974550241333861
14,2022-11-04 18:50:00,90.96,91.0,90.96,90.97,3026.0,-0.0020864225435130008,-0.0020842474769635633
15,2022-11-04 18:45:00,90.96,90.96,90.96,90.96,4066.0,-0.0021963549352029318,-0.0021939447125932654
16,2022-11-04 18:40:00,90.96,90.96,90.95,90.95,2001.0,-0.0023062994133522,-0.0023036419482228565
17,2022-11-04 18:35:00,90.98,91.0,90.95,90.97,3810.0,-0.0020864225435130008,-0.0020842474769635633
18,2022-11-04 18:30:00,90.98,91.0,90.98,90.98,4886.0,-0.001976502235625423,-0.001974550241333861
19,2022-11-04 18:25:00,90.98,91.0,90.98,91.0,4137.0,-0.001756697860633441,-0.001755155770074568
20,2022-11-04 18:20:00,90.99,91.0,90.98,90.98,3637.0,-0.001976502235625423,-0.001974550241333861
21,2022-11-04 18:15:00,90.98,91.0,90.9701,90.98,2840.0,-0.001976502235625423,-0.001974550241333861
22,2022-11-04 18:10:00,90.97,90.99,90.96,90.98,2853.0,-0.001976502235625423,-0.001974550241333861
23,2022-11-04 18:05:00,90.9601,91.05,90.9601,91.0,8767.0,-0.001756697860633441,-0.001755155770074568
24,2022-11-04 18:00:00,90.92,91.0,90.92,90.9606,3411.0,-0.002189758650889821,-0.0021873628784554455
25,2022-11-04 17:55:00,90.96,91.0,90.9174,90.9981,5762.0,-0.0017775771994845491,-0.0017759982448443123
